wheel,station,sector,NSegments,xx,yy,zz,aa,bb,cc
0,1,6,35236,1.44E-05,1.31E-05,0.000247852,1.54E-07,9.80E-08,2.12E-09
0,1,7,33986,1.55E-05,1.42E-05,0.00044685,1.57E-07,1.69E-07,2.55E-09
0,1,8,35425,1.27E-05,1.20E-05,0.000267594,1.28E-07,1.55E-07,1.91E-09
0,1,9,28964,1.72E-05,1.63E-05,0.000502051,1.84E-07,2.10E-07,2.91E-09
0,1,10,26608,1.83E-05,1.75E-05,0.000528883,1.96E-07,2.08E-07,3.10E-09
0,1,11,28742,1.81E-05,1.63E-05,0.000290925,1.78E-07,1.17E-07,3.00E-09
0,1,12,34199,1.47E-05,1.08E-05,0.000354081,1.22E-07,1.35E-07,1.96E-09
0,2,1,29278,3.64E-05,2.94E-05,0.0010581,4.14E-07,2.88E-07,3.83E-09
0,2,2,29225,3.52E-05,1.95E-05,0.000944882,1.51E-07,2.68E-07,2.74E-09
0,2,3,35060,2.70E-05,2.10E-05,0.000423919,3.12E-07,2.10E-07,1.94E-09
0,2,4,36459,2.69E-05,1.57E-05,0.000712974,1.56E-07,2.11E-07,2.73E-09
0,2,5,36595,2.59E-05,2.25E-05,0.000398643,3.02E-07,2.02E-07,2.82E-09
0,2,6,40503,2.37E-05,1.42E-05,0.000339667,1.44E-07,1.89E-07,2.00E-09
0,2,7,38608,2.71E-05,2.17E-05,0.000711295,3.17E-07,2.10E-07,2.73E-09
0,2,8,38448,2.57E-05,2.18E-05,0.000705749,2.84E-07,1.96E-07,2.67E-09
0,2,9,32747,3.17E-05,2.46E-05,0.000825936,3.23E-07,2.21E-07,2.99E-09
0,2,10,31586,3.12E-05,2.59E-05,0.000867866,3.61E-07,2.55E-07,3.37E-09
0,2,11,29307,3.33E-05,2.77E-05,0.000526331,3.77E-07,2.49E-07,3.33E-09
0,2,12,34257,3.08E-05,2.42E-05,0.00078902,3.22E-07,2.21E-07,2.97E-09
0,3,1,25074,8.42E-05,5.89E-05,0.00248595,1.04E-06,5.02E-07,6.05E-09
0,3,2,23108,9.05E-05,6.12E-05,0.00249176,1.12E-06,5.32E-07,6.22E-09
0,3,3,30639,6.45E-05,4.66E-05,0.0018749,8.09E-07,4.06E-07,4.84E-09
0,3,4,30742,6.27E-05,4.71E-05,0.00197323,7.80E-07,3.96E-07,4.93E-09
0,3,5,31853,6.16E-05,3.19E-05,0.00196274,1.86E-07,3.87E-07,4.47E-09
0,3,6,30833,6.40E-05,4.74E-05,0.00189272,8.09E-07,4.01E-07,4.88E-09
0,3,7,32238,6.42E-05,4.58E-05,0.00187011,7.96E-07,4.01E-07,4.75E-09
0,3,8,32054,6.12E-05,3.10E-05,0.00189129,1.88E-07,3.79E-07,4.38E-09
0,3,9,26002,7.64E-05,5.42E-05,0.00231316,9.26E-07,4.69E-07,5.65E-09
0,3,10,25127,7.68E-05,5.38E-05,0.00116334,1.00E-06,4.77E-07,5.34E-09
0,3,11,25480,7.97E-05,5.47E-05,0.00238633,1.01E-06,4.96E-07,5.94E-09
0,3,12,32381,6.14E-05,4.54E-05,0.00194265,7.67E-07,3.86E-07,4.76E-09
0,4,1,50414,0.000112651,,0.00687009,1.23E-06,3.68E-07,4.80E-08
0,4,2,30655,0.000181995,,0.00833185,1.65E-06,6.34E-07,7.20E-08
0,4,3,47680,8.81E-05,,0.00537371,1.23E-06,3.73E-07,3.63E-08
