endcap,station,ring,chamber,NSegments,xx,yy,zz,aa,bb,cc
1,4,1,15,30794,9.05E-06,0.00146249,0.003025,3.03E-07,3.03E-07,6.10E-09
1,4,1,16,46340,6.51E-06,0.000850123,0.003025,3.03E-07,3.03E-07,4.46E-09
1,4,1,17,45358,6.37E-06,0.000831095,0.003025,3.03E-07,3.03E-07,4.34E-09
1,4,1,18,46812,6.39E-06,0.000843294,0.003025,3.03E-07,3.03E-07,4.38E-09
1,4,2,1,20590,5.82E-05,0.0326318,0.01,3.60E-07,2.35E-07,6.87E-09
1,4,2,2,19674,6.42E-05,0.0125618,0.01,3.60E-07,2.35E-07,7.24E-09
1,4,2,3,17820,6.76E-05,0.0291456,0.01,3.60E-07,2.35E-07,8.37E-09
1,4,2,4,20031,7.51E-05,0.034276,0.01,3.60E-07,2.35E-07,9.04E-09
1,4,2,5,16980,7.20E-05,0.0371207,0.01,3.60E-07,2.35E-07,9.77E-09
1,4,2,6,21161,5.35E-05,0.0313222,0.01,3.60E-07,2.35E-07,7.22E-09
1,4,2,7,20313,5.76E-05,0.00927971,0.01,3.60E-07,2.35E-07,6.57E-09
1,4,2,8,21941,5.50E-05,0.0310504,0.01,3.60E-07,2.35E-07,6.49E-09
1,4,2,9,19008,6.49E-05,0.0340362,0.01,3.60E-07,2.35E-07,7.32E-09
1,4,2,10,21877,5.44E-05,0.0314995,0.01,3.60E-07,2.35E-07,6.54E-09
1,4,2,11,17791,7.40E-05,0.0361782,0.01,3.60E-07,2.35E-07,8.51E-09
